convnet,ft_resnet,pt_resnet,resnet
63.87710571,79.95491028,92.12760925,84.82513428
82.31544495,84.42955017,95.04203796,90.03829956
86.77444458,85.51254272,95.83930969,91.99752808
89.71061707,86.03935242,96.34017944,93.32847595
83.2118988,86.38763428,96.68579102,94.19441223
75.75798035,86.6027832,96.95777893,94.76928711
68.04237366,86.89613342,97.17102051,95.17173767
55.85212708,86.94648743,97.31483459,95.43266296
73.36616516,87.0880127,97.49107361,95.7244873
62.03689575,87.15667725,97.55859375,95.94650269
60.6502533,87.15057373,97.60704041,96.1315155
72.59140015,87.50762939,97.80654907,96.31118774
65.35720825,87.62168884,97.89085388,96.46759033
74.81880188,87.60566711,97.93891907,96.61903381
74.3434906,87.73078918,97.90725708,96.72355652
