,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,convnet,ft_resnet,pt_resnet,resnet
0,0.0,0.0,0.0,0.0,,,83.56170654296875,
1,1.0,1.0,1.0,1.0,,,85.88676452636719,
2,2.0,2.0,2.0,2.0,,,86.83700561523438,
3,3.0,3.0,3.0,3.0,,,87.58888244628906,
4,4.0,4.0,4.0,4.0,,,88.153076171875,
5,5.0,5.0,5.0,5.0,,,88.35906982421875,
6,6.0,6.0,6.0,6.0,,,88.85154724121094,
7,7.0,7.0,7.0,7.0,,,88.53034973144531,
8,8.0,8.0,8.0,8.0,,,89.06364440917969,
9,9.0,9.0,9.0,9.0,,,89.27192687988281,
10,10.0,10.0,10.0,10.0,,,89.68505859375,
11,11.0,11.0,11.0,11.0,,,90.02761840820312,
12,12.0,12.0,12.0,12.0,,,90.61164855957033,
13,13.0,13.0,13.0,13.0,,,88.87443542480469,
14,14.0,14.0,14.0,14.0,,,90.38352966308594,
15,15.0,15.0,15.0,15.0,,,90.52848815917967,
16,16.0,16.0,16.0,16.0,,,90.69709777832033,
17,17.0,17.0,17.0,17.0,,,90.67344665527344,
18,18.0,18.0,18.0,18.0,,,90.80123901367188,
19,19.0,19.0,19.0,19.0,,,90.87486267089844,
20,,,,,,,90.20576477050781,
21,,,,,,,89.64118957519531,
22,,,,,,,90.51971435546875,
23,,,,,,,91.05186462402344,
24,,,,,,,91.45240783691406,
25,,,,,,,91.63932800292969,
26,,,,,,,89.89448547363281,
27,,,,,,,90.24620056152344,
28,,,,,,,91.40281677246094,
29,,,,,,,91.44020080566406,
